MEASURE,REGION_TYPE,ASGS_2021,FREQ,TIME_PERIOD,value
ERP,SA2,125041490,A,2020,8467
ERP,SA2,125041490,A,2021,8469
ERP,SA2,125041490,A,2022,8483
ERP,SA2,125041490,A,2023,8657
ERP,SA2,125041490,A,2024,8702
ERP,SA2,125041490,A,2025,8764
ERP,SA2,126021500,A,2016,22689
ERP,SA2,126021500,A,2017,23120
ERP,SA2,126021500,A,2018,23473
ERP,SA2,126021500,A,2019,23994
ERP,SA2,126021500,A,2020,24227
ERP,SA2,126021500,A,2021,24028
ERP,SA2,126021500,A,2022,24922
ERP,SA2,126021500,A,2023,26517
ERP,SA2,126021500,A,2024,28057
ERP,SA2,126021500,A,2025,28886
ERP,SA2,127011597,A,2016,15810
ERP,SA2,127011597,A,2017,16465
ERP,SA2,127011597,A,2018,16812
ERP,SA2,127011597,A,2019,17063
ERP,SA2,127011597,A,2020,17165
ERP,SA2,127011597,A,2021,17250
ERP,SA2,127011597,A,2022,17363
ERP,SA2,127011597,A,2023,17652
ERP,SA2,127011597,A,2024,17858
ERP,SA2,127011597,A,2025,18072
ERP,SA2,127011729,A,2016,4890
ERP,SA2,127011729,A,2017,7004
ERP,SA2,127011729,A,2018,9128
ERP,SA2,127011729,A,2019,12212
ERP,SA2,127011729,A,2020,14874
ERP,SA2,127011729,A,2021,17786
ERP,SA2,127011729,A,2022,20658
ERP,SA2,127011729,A,2023,22563
ERP,SA2,127011729,A,2024,24084
ERP,SA2,127011729,A,2025,25695
ERP,SA2,128011602,A,2016,12222
ERP,SA2,128011602,A,2017,12342
ERP,SA2,128011602,A,2018,12495
ERP,SA2,128011602,A,2019,12698
ERP,SA2,128011602,A,2020,12871
ERP,SA2,128011602,A,2021,12890
ERP,SA2,128011602,A,2022,13108
ERP,SA2,128011602,A,2023,13468
ERP,SA2,128011602,A,2024,13800
ERP,SA2,128011602,A,2025,14011
ERP,SA2,201011481,A,2016,9321
ERP,SA2,201011481,A,2017,9466
ERP,SA2,201011481,A,2018,9536
ERP,SA2,201011481,A,2019,9632
ERP,SA2,201011481,A,2020,9650
ERP,SA2,201011481,A,2021,9654
ERP,SA2,201011481,A,2022,9618
ERP,SA2,201011481,A,2023,9599
ERP,SA2,201011481,A,2024,9672
ERP,SA2,201011481,A,2025,9771
ERP,SA2,202011018,A,2016,14770
ERP,SA2,202011018,A,2017,14844
ERP,SA2,202011018,A,2018,14941
ERP,SA2,202011018,A,2019,15072
ERP,SA2,202011018,A,2020,15087
ERP,SA2,202011018,A,2021,14955
ERP,SA2,202011018,A,2022,14706
ERP,SA2,202011018,A,2023,14566
ERP,SA2,202011018,A,2024,14422
ERP,SA2,202011018,A,2025,14457
ERP,SA2,202011022,A,2016,19947
ERP,SA2,202011022,A,2017,20191
ERP,SA2,202011022,A,2018,20442
ERP,SA2,202011022,A,2019,20718
ERP,SA2,202011022,A,2020,20938
ERP,SA2,202011022,A,2021,21071
ERP,SA2,202011022,A,2022,21171
ERP,SA2,202011022,A,2023,21214
ERP,SA2,202011022,A,2024,21361
ERP,SA2,202011022,A,2025,21369
ERP,SA2,203011035,A,2016,6937
ERP,SA2,203011035,A,2017,7117
ERP,SA2,203011035,A,2018,7327
ERP,SA2,203011035,A,2019,7552
ERP,SA2,203011035,A,2020,7774
